id,command,last_name,first_name,rank,shield_no,active
927247,TD 30,MURPHY,MICHAEL,Police Officer,08829,false
927248,E S U,MURPHY,THOMAS,Detective,05006,false
927249,113 PCT,SYLVESTER,ANTOINETTE,Police Officer,28990,false
927250,CAB,MURRAY,JACQUELINE,Police Officer,31122,false
927252,MTN PCT,WUTTKE,KAREN,Police Officer,13664,false
927253,RTCC INV SUPP,MURRAY,WILLUS,Detective,00375,false
927254,PSA 1,MYERS,ANGELA,Police Officer,05899,false
927256,120 PCT,MYERS,YVETTE,Police Officer,05975,false
927257,028 PCT,NAGLE,JAMES,Police Officer,29571,false
927259,TB DT20,NAPOLITANO,JOSEPH,Police Officer,04408,false
927260,066 PCT,NATAL,LISA,Police Officer,11057,false
927261,RMB QAD,NATOLI,BRIAN,Sergeant,01982,false
927262,TRP BUR,NAVARRO,JOSEPH,Police Officer,17736,false
927263,P A T U,NEGLIA,JOHN,Police Officer,15548,false
927264,PB CAD,NEGRON,JASON,Police Officer,29974,false
927265,MAJOR INV SQD,NEGRON,ROBERT,Detective,04986,false
927266,MOUNTED,NEVINS,DANIEL,Police Officer,06028,false
927267,C E D,NEWKIRK,LISAMARIE,Sergeant,02266,false
927268,TRF/MTF,NEWTON,TRINA,Police Officer,07500,false
927270,S O D,NICHOLS,KYLE,Police Officer,30046,false
927271,CW T TF,NICOLETTI,CARLO,Police Officer,10363,false
927272,P A T U,NICOTRA,RICHARD,Police Officer,18907,false
927273,TB DT33,NIEBRZYDOWSKI,WOJCIECH,Captain,00000,false
927274,050 PCT,GRAHAM,FRANCES,Police Officer,04441,false
927275,120 PCT,NIX,MICHAEL,Police Officer,23280,false
927276,SRG 1,NOGUERA,LUIS,Police Officer,23888,false
927278,TD 33,NOZILE,FRED,Sergeant,04483,true
927279,TB DT03,NUNEZ,CLARIBEL,Police Officer,09059,false
927280,M E L D,NUNEZ,RUDY,Police Officer,15578,false
927281,073 PCT,OBER,ERIK,Police Officer,27038,false
927282,P A T U,OBRIEN,KEVIN,Police Officer,27063,false
927283,P A T U,OCALLAGHAN,JAMES,Police Officer,04054,false
927284,P A T U,OCALLAGHAN,OWEN,Police Officer,01149,false
927285,P A T U,OCONNOR,BRIAN,Police Officer,09963,false
927286,046 PCT,OCONNOR,JENNIFER,Police Officer,27101,false
927287,P A T U,OCONNOR,SEAN,Police Officer,21263,false
927288,PBBX,ODONNELL,CIARAN,Police Officer,18932,false
927289,LIC DIV,ODONOHOE,TERENCE,Sergeant,03865,false
927290,P A T U,INZINNA,PATRICK,Police Officer,16013,false
927291,TRANSIT SAU,OKROKOTO,OGHENEVIGHO,Sergeant,00708,false
927292,P A T U,OLIVA,PAUL,Police Officer,00000,false
927293,RTCC,OLIVERASDIAZ,MAGDA,Police Officer,23560,false
